Date,Open,High,Low,Close,Adj Close,Volume
2019-01-05,0.013373,0.014559,0.013233,0.013942,0.013942,2984715
2019-01-06,0.013842,0.015088,0.013542,0.014517,0.014517,3201935
2019-01-07,0.014538,0.015100,0.014292,0.014825,0.014825,2673679
2019-01-08,0.014871,0.015482,0.014316,0.015207,0.015207,2843606
2019-01-09,0.015307,0.015770,0.014918,0.015104,0.015104,2836628
2019-01-10,0.015163,0.015608,0.012506,0.012651,0.012651,3060671
2019-01-11,0.012698,0.012900,0.012455,0.012656,0.012656,1396210
2019-01-12,0.012628,0.013048,0.012397,0.012671,0.012671,1584330
2019-01-13,0.012662,0.013472,0.011624,0.011832,0.011832,3716168
2019-01-14,0.011813,0.012933,0.011617,0.012695,0.012695,2367532
2019-01-15,0.012624,0.012806,0.011850,0.012020,0.012020,1872288
2019-01-16,0.012013,0.012604,0.011928,0.012506,0.012506,1924059
2019-01-17,0.012490,0.013078,0.012151,0.012885,0.012885,3016271
2019-01-18,0.012977,0.013382,0.012435,0.012653,0.012653,3156691
2019-01-19,0.012665,0.013113,0.012524,0.012813,0.012813,1723002
2019-01-20,0.012898,0.013111,0.011945,0.012197,0.012197,2187262
2019-01-21,0.012158,0.012380,0.012003,0.012373,0.012373,1436338
2019-01-22,0.012321,0.014471,0.011867,0.014259,0.014259,11874502
2019-01-23,0.014230,0.014788,0.013039,0.013483,0.013483,11422799
2019-01-24,0.013415,0.013576,0.013048,0.013300,0.013300,3054967
2019-01-25,0.013313,0.013400,0.012510,0.012953,0.012953,3254171
2019-01-26,0.012943,0.013141,0.012709,0.012907,0.012907,1911389
2019-01-27,0.012938,0.012941,0.012220,0.012353,0.012353,2108046
2019-01-28,0.012347,0.012374,0.011261,0.011767,0.011767,2791105
2019-01-29,0.011799,0.011954,0.011274,0.011544,0.011544,1602223
2019-01-30,0.011544,0.012004,0.011410,0.011955,0.011955,1726899
2019-01-31,0.011900,0.012061,0.010831,0.010923,0.010923,3286185
2019-02-01,0.010986,0.011187,0.010635,0.011032,0.011032,1531531
2019-02-02,0.011013,0.011122,0.010772,0.011050,0.011050,1081377
2019-02-03,0.010978,0.011116,0.010594,0.010698,0.010698,1202529
2019-02-04,0.010733,0.010793,0.010207,0.010207,0.010207,3106804
2019-02-05,0.010156,0.010386,0.009925,0.009998,0.009998,2389627
2019-02-06,0.010102,0.010509,0.009523,0.010251,0.010251,3295598
2019-02-07,0.010179,0.010784,0.010135,0.010251,0.010251,3633361
2019-02-08,0.010252,0.011191,0.009994,0.011006,0.011006,2682088
2019-02-09,0.011023,0.011767,0.010642,0.011593,0.011593,4971821
2019-02-10,0.011574,0.011648,0.010989,0.011280,0.011280,2745999
2019-02-11,0.011273,0.011273,0.010642,0.010753,0.010753,3047214
2019-02-12,0.010754,0.010931,0.010406,0.010714,0.010714,2900832
2019-02-13,0.010727,0.010782,0.010376,0.010464,0.010464,1403110
2019-02-14,0.010429,0.010582,0.010344,0.010443,0.010443,1245546
2019-02-15,0.010458,0.010774,0.010402,0.010529,0.010529,1640861
2019-02-16,0.010552,0.010611,0.010242,0.010288,0.010288,1473654
2019-02-17,0.010289,0.010591,0.010220,0.010548,0.010548,1778191
2019-02-18,0.010551,0.011083,0.010551,0.010941,0.010941,1936619
2019-02-19,0.010951,0.011308,0.010761,0.011003,0.011003,2502679
2019-02-20,0.010994,0.011377,0.010994,0.011260,0.011260,1675500
2019-02-21,0.011255,0.011281,0.010546,0.010710,0.010710,2416433
2019-02-22,0.010786,0.012030,0.010740,0.011877,0.011877,5872781
2019-02-23,0.011830,0.011936,0.010974,0.011416,0.011416,3113393
2019-02-24,0.011381,0.011926,0.010256,0.010354,0.010354,2690246
2019-02-25,0.010342,0.010899,0.010270,0.010695,0.010695,2444822
2019-02-26,0.010637,0.011998,0.010598,0.011729,0.011729,6459726
2019-02-27,0.011648,0.013265,0.011472,0.012849,0.012849,14540840
2019-02-28,0.012846,0.014979,0.012667,0.013282,0.013282,17628822
2019-03-01,0.013285,0.016062,0.013161,0.015754,0.015754,14160717
2019-03-02,0.016186,0.020268,0.015867,0.019413,0.019413,36664456
2019-03-03,0.019570,0.023740,0.018364,0.023709,0.023709,32568065
2019-03-04,0.023701,0.027766,0.021470,0.024238,0.024238,76163205
2019-03-05,0.024874,0.025237,0.021739,0.023370,0.023370,25200649
2019-03-06,0.023161,0.027325,0.022666,0.026361,0.026361,25744035
2019-03-07,0.026690,0.034730,0.026555,0.034730,0.034730,59823974
2019-03-08,0.034459,0.038244,0.032126,0.033325,0.033325,68202973
2019-03-09,0.033640,0.033694,0.029496,0.030034,0.030034,26312077
