,date,height_RVN,flow_RVN,stock_RVN,open_RVN,high_RVN,low_RVN,close_RVN,adj_close_RVN,volume_RVN,open_BTC,high_BTC,low_BTC,close_BTC,adj_close_BTC,volume_BTC
170,2018-06-22,7515000,7515000,1321110000,0.023008,0.024082,0.019684,0.019714,0.019714,307179.0,6737.879883,6747.080078,6006.600098,6083.689941,6083.689941,5079810048.0
171,2018-06-23,6970000,6970000,1328080000,0.019836000000000003,0.021261000000000002,0.019622,0.020212,0.020212,159411.0,6090.100098,6224.819824,6071.810059,6162.47998,6162.47998,3431360000.0
172,2018-06-24,6965000,6965000,1335045000,0.020237,0.020624,0.018987,0.019457,0.019457,261562.0,6164.279785,6223.779785,5826.410156,6173.22998,6173.22998,4566909952.0
173,2018-06-25,6650000,6650000,1341695000,0.019472999999999997,0.020375,0.018688999999999997,0.018955,0.018955,209462.0,6171.970215,6327.370117,6119.680176,6249.180176,6249.180176,5500810240.0
174,2018-06-26,6925000,6925000,1348620000,0.018849,0.019563999999999998,0.017769,0.017784,0.017784,224258.0,6253.549805,6290.160156,6093.669922,6093.669922,6093.669922,3279759872.0
175,2018-06-27,7370000,7370000,1355990000,0.017733000000000002,0.017986000000000002,0.015491999999999999,0.016475999999999998,0.016475999999999998,268753.0,6084.399902,6180.0,6052.850098,6157.129883,6157.129883,3296219904.0
176,2018-06-28,7365000,7365000,1363355000,0.016497,0.017352,0.015402,0.015948,0.015948,227342.0,6153.160156,6170.410156,5873.049805,5903.439941,5903.439941,3467800064.0
177,2018-06-29,6565000,6565000,1369920000,0.015976,0.016040000000000002,0.014128,0.015815,0.015815,220533.0,5898.129883,6261.660156,5835.75,6218.299805,6218.299805,3966230016.0
178,2018-06-30,7085000,7085000,1377005000,0.015808000000000003,0.017337,0.015022,0.016901,0.016901,203596.0,6214.220215,6465.509765999999,6214.220215,6404.0,6404.0,4543860224.0
179,2018-07-01,7085000,7085000,1384090000,0.016868,0.016929,0.015221,0.015437000000000001,0.015437000000000001,233474.0,6411.680176,6432.850098,6289.290039,6385.819824,6385.819824,4788259840.0
180,2018-07-02,6580000,6580000,1390670000,0.015423,0.016878,0.014634999999999999,0.015496000000000001,0.015496000000000001,230745.0,6380.379883,6683.859863000001,6305.700195,6614.180176,6614.180176,4396930048.0
181,2018-07-03,7830000,7830000,1398500000,0.015503999999999999,0.016736,0.014879,0.014921,0.014921,234567.0,6596.660156,6671.370117,6447.75,6529.589844,6529.589844,4672309760.0
182,2018-07-04,7165000,7165000,1405665000,0.014907,0.016242,0.014552,0.014875999999999999,0.014875999999999999,262931.0,6550.870117,6771.919922,6450.459961,6597.549805,6597.549805,4176689920.0
183,2018-07-05,6555000,6555000,1412220000,0.014898,0.015309999999999999,0.012497,0.013238,0.013238,249897.0,6599.709961,6749.540039,6546.649902,6639.140136999999,6639.140136999999,4999240192.0
184,2018-07-06,8175000,8175000,1420395000,0.013243000000000001,0.015731000000000002,0.013097,0.014353,0.014353,255893.0,6638.689941,6700.939941,6533.549805,6673.5,6673.5,4313959936.0
185,2018-07-07,6940000,6940000,1427335000,0.01435,0.018887,0.014022,0.017656,0.017656,309608.0,6668.709961,6863.990234000001,6579.240234000001,6856.930176000001,6856.930176000001,3961080064.0
186,2018-07-08,7335000,7335000,1434670000,0.018191,0.01986,0.016159,0.016562,0.016562,262574.0,6857.799805,6885.910156,6747.97998,6773.879883,6773.879883,3386210048.0
187,2018-07-09,8145000,8145000,1442815000,0.016471,0.017311,0.015524000000000001,0.015563999999999998,0.015563999999999998,235889.0,6775.080078,6838.680176000001,6724.339844,6741.75,6741.75,3718129920.0
188,2018-07-10,6305000,6305000,1449120000,0.015611000000000002,0.016962,0.015109000000000001,0.015137000000000001,0.015137000000000001,226187.0,6739.209961,6767.740234000001,6320.720215,6329.950195,6329.950195,4052430080.0
189,2018-07-11,6105000,6105000,1455225000,0.01523,0.015667,0.014544,0.014721000000000001,0.014721000000000001,185789.0,6330.77002,6444.959961,6330.470215,6394.709961,6394.709961,3644859904.0
190,2018-07-12,7290000,7290000,1462515000,0.014659,0.014756,0.013704,0.01399,0.01399,196678.0,6396.779785,6397.100098,6136.419922,6228.810059,6228.810059,3770170112.0
191,2018-07-13,7770000,7770000,1470285000,0.014015000000000001,0.014938,0.013909999999999999,0.014174,0.014174,229192.0,6235.029785,6310.549805,6192.240234000001,6238.049805,6238.049805,3805400064.0
